"Project","SDG","Frequency"
"P119343","Climate mitigation",11
"P119343","Circular economy",1
"P119343","Climate adaptation",1
"P119343","Pollution prevention",1
"P125630","Climate adaptation",1
"P127676","Climate adaptation",5
"P127676","Water",1
"P129791","Climate adaptation",2
"P129791","Climate mitigation",1
"P129791","Water",1
"P130682","Water",13
"P130682","Climate mitigation",3
"P130682","Biodiversity",1
"P130682","Climate adaptation",1
"P130975","Climate adaptation",1
"P131256","Climate mitigation",35
"P131256","Climate adaptation",2
"P131256","Pollution prevention",2
"P131256","Water",2
"P132317","Biodiversity",5
"P132317","Climate adaptation",4
"P132317","Water",1
"P132741","Climate mitigation",26
"P132741","Climate adaptation",6
"P132741","Water",5
"P133705","Climate adaptation",2
"P133705","Biodiversity",1
"P133705","Climate mitigation",1
"P133705","Water",1
"P143689","Climate mitigation",23
"P143689","Water",1
"P144489","Climate mitigation",3
"P144489","Climate adaptation",1
"P144489","Water",1
"P144534","Climate mitigation",14
"P146965","Climate adaptation",7
"P146965","Biodiversity",1
"P146965","Climate mitigation",1
"P147854","Water",17
"P147854","Biodiversity",1
"P147854","Climate adaptation",1
"P148129","Climate mitigation",1
"P149872","Climate mitigation",11
"P149872","Water",2
"P150930","Water",12
"P150930","Climate mitigation",3
"P150930","Biodiversity",1
"P152851","Climate adaptation",10
"P152851","Circular economy",1
"P152851","Climate mitigation",1
"P152851","Water",1
"P154283","Climate mitigation",15
"P154283","Climate adaptation",2
"P155007","Climate mitigation",17
"P155007","Climate adaptation",2
"P155007","Pollution prevention",1
"P155642","Biodiversity",7
"P157585","Water",9
"P157585","Climate adaptation",2
"P157836","Biodiversity",4
"P157836","Water",4
"P157836","Climate adaptation",1
"P157836","Climate mitigation",1
"P157836","Pollution prevention",1
"P158119","Water",27
"P158119","Climate adaptation",1
"P158119","Climate mitigation",1
"P158418","Water",10
"P158418","Climate mitigation",6
"P158418","Climate adaptation",4
"P158522","Water",13
"P158522","Climate adaptation",4
"P158522","Climate mitigation",4
"P158756","Water",2
"P158756","Biodiversity",1
"P158756","Climate mitigation",1
"P158756","Pollution prevention",1
"P160408","Climate adaptation",22
"P160408","Water",8
"P160408","Climate mitigation",7
"P160911","Water",37
"P160911","Climate adaptation",2
"P160911","Climate mitigation",2
"P162679","Water",6
"P162679","Climate adaptation",3
"P162762","Climate mitigation",5
"P162762","Water",2
"P162762","Climate adaptation",1
"P163533","Water",8
"P163533","Climate adaptation",2
"P163533","Climate mitigation",1
"P164047","Climate adaptation",17
"P164047","Biodiversity",12
"P164047","Climate mitigation",10
"P164047","Water",1
"P165054","Climate mitigation",1
"P165129","Climate mitigation",10
"P165129","Climate adaptation",6
"P165129","Water",4
"P165129","Biodiversity",1
"P165509","Climate mitigation",10
"P165683","Water",32
"P165683","Climate mitigation",4
"P165683","Climate adaptation",1
"P168580","Climate adaptation",17
"P168862","Water",2
"P168862","Climate adaptation",1
"P168862","Pollution prevention",1
"P169403","Climate adaptation",11
"P169403","Climate mitigation",2
"P169403","Biodiversity",1
"P169403","Circular economy",1
"P169403","Water",1
"P170236","Climate mitigation",8
"P170236","Climate adaptation",1
"P172187","Water",2
"P172187","Biodiversity",1
"P172548","Pollution prevention",9
"P172548","Climate adaptation",5
"P172548","Climate mitigation",4
"P172548","Circular economy",1
"P172668","Climate mitigation",5
"P172668","Climate adaptation",2
"P173021","Climate adaptation",6
"P173021","Climate mitigation",4
"P173021","Biodiversity",1
"P173021","Circular economy",1
"P173021","Pollution prevention",1
"P175894","Climate mitigation",13
"P175894","Climate adaptation",7
"P175894","Water",2
