"Project","Goal","Frequency"
"166991","Climate adaptation",3
"166991","Water",2
"167795","Climate mitigation",7
"167795","Climate adaptation",2
"167795","Water",1
"167894","Climate mitigation",2
"167894","Climate adaptation",1
"168634","Climate adaptation",6
"168634","Biodiversity",1
"168634","Climate mitigation",1
"168634","Water",1
"168943","Water",14
"168943","Climate mitigation",4
"168943","Pollution prevention",2
"169330","Climate adaptation",3
"169330","Water",1
"169548","Climate mitigation",7
"169983","Climate adaptation",4
"169983","Water",2
"169983","Biodiversity",1
"169983","Climate mitigation",1
"170131","Climate mitigation",16
"170131","Climate adaptation",2
"170131","Water",1
"170178","Climate adaptation",1
"170230","Climate adaptation",2
"170230","Climate mitigation",2
"170230","Pollution prevention",1
"170236","Climate mitigation",16
"170236","Climate adaptation",1
"170236","Water",1
"170590","Climate mitigation",6
"170590","Biodiversity",1
"170891","Water",11
"170891","Climate adaptation",3
"170891","Climate mitigation",1
"171266","Climate adaptation",3
"171266","Water",3
"171311","Climate mitigation",2
"171311","Circular economy",1
"171644","Water",5
"171644","Climate mitigation",2
"171644","Biodiversity",1
"171644","Circular economy",1
"171644","Climate adaptation",1
"172187","Climate adaptation",4
"172187","Water",4
"172256","Climate mitigation",8
"172256","Climate adaptation",2
"172256","Biodiversity",1
"172592","Climate mitigation",4
"172592","Climate adaptation",3
"172592","Biodiversity",1
"172592","Water",1
"172707","Climate adaptation",3
"172707","Climate mitigation",1
"172806","Water",18
"172806","Biodiversity",7
"172806","Climate mitigation",4
"172806","Climate adaptation",1
"172806","Pollution prevention",1
"172926","Water",8
"172926","Biodiversity",1
"172926","Pollution prevention",1
"173151","Water",1
"173487","Climate mitigation",10
"173487","Biodiversity",4
"173487","Climate adaptation",2
"173487","Pollution prevention",2
"173782","Climate adaptation",4
"173782","Water",2
"174067","Climate adaptation",3
"174067","Climate mitigation",1
"174191","Climate adaptation",15
"174191","Water",1
"174246","Climate adaptation",2
"174246","Biodiversity",1
"174246","Climate mitigation",1
"174246","Water",1
"174251","Climate mitigation",3
"174251","Climate adaptation",1
"174251","Water",1
"174259","Climate adaptation",2
"174259","Pollution prevention",2
"174259","Climate mitigation",1
"174367","Climate mitigation",7
"174367","Climate adaptation",3
"174564","Climate mitigation",1
"174732","Water",8
"174732","Circular economy",4
"174732","Climate adaptation",2
"174798","Water",2
"174798","Climate adaptation",1
"174806","Biodiversity",4
"174806","Climate adaptation",3
"174806","Pollution prevention",2
"174812","Climate mitigation",6
"174812","Circular economy",2
"175011","Biodiversity",11
"175011","Climate adaptation",5
"175011","Climate mitigation",3
"175011","Circular economy",1
"175011","Pollution prevention",1
"175221","Water",4
"175221","Climate mitigation",3
"175221","Climate adaptation",2
"175221","Pollution prevention",1
"175455","Climate mitigation",2
"175455","Climate adaptation",1
"175493","Climate adaptation",2
"175543","Climate adaptation",5
"175543","Climate mitigation",2
"175543","Biodiversity",1
"175592","Climate adaptation",2
"175640","Climate adaptation",1
"175640","Climate mitigation",1
"175669","Biodiversity",8
"175669","Climate adaptation",7
"175669","Circular economy",1
"175676","Climate adaptation",2
"175676","Biodiversity",1
"175742","Climate adaptation",2
"175742","Climate mitigation",1
"175747","Water",5
"175747","Climate mitigation",1
"175801","Climate mitigation",3
"175801","Water",1
"175874","Climate mitigation",7
"175874","Climate adaptation",2
"175930","Climate mitigation",3
"175930","Climate adaptation",1
"176006","Climate adaptation",1
"176017","Climate mitigation",13
"176017","Biodiversity",3
"176017","Climate adaptation",2
"176105","Circular economy",2
"176105","Water",2
"176164","Climate adaptation",5
"176164","Climate mitigation",1
"176232","Climate adaptation",10
"176232","Biodiversity",4
"176232","Water",3
"176232","Climate mitigation",2
"176608","Climate adaptation",4
"176608","Climate mitigation",2
"P176297","Climate adaptation",3
"P176297","Biodiversity",2
"P176353","Climate adaptation",1
"P176404","Climate mitigation",1
"P176420","Climate adaptation",2
"P176505","Climate adaptation",1
"P176505","Climate mitigation",1
"P176581","Climate adaptation",2
"P176650","Climate adaptation",16
"P176650","Climate mitigation",2
"P176770","Climate mitigation",7
"P176770","Circular economy",3
"P176781","Climate adaptation",1
"P176788","Climate mitigation",4
"P176788","Climate adaptation",2
"P176788","Biodiversity",1
"P176803","Climate mitigation",1
"P176891","Climate adaptation",4
"P176891","Climate mitigation",1
"P176903","Climate adaptation",2
"P176903","Climate mitigation",2
"P176903","Water",2
"P176905","Climate adaptation",5
"P176905","Climate mitigation",2
"P176905","Biodiversity",1
"P176905","Circular economy",1
"P176905","Water",1
"P176937","Climate adaptation",12
"P176937","Circular economy",1
"P176937","Pollution prevention",1
"P176983","Climate mitigation",14
"P176983","Climate adaptation",9
"P176983","Biodiversity",1
"P177004","Climate adaptation",4
"P177004","Water",3
"P177038","Climate mitigation",2
"P177038","Pollution prevention",1
"P177125","Climate adaptation",10
"P177305","Climate adaptation",2
"P177305","Biodiversity",1
"P177305","Water",1
"P177590","Climate mitigation",7
"P177590","Water",5
"P177590","Circular economy",3
"P177590","Biodiversity",1
"P177632","Climate adaptation",4
"P177632","Climate mitigation",4
"P177726","Climate mitigation",5
"P177726","Climate adaptation",1
"P177765","Climate mitigation",5
"P177765","Climate adaptation",3
"P177765","Water",1
"P177895","Climate adaptation",2
"P177895","Climate mitigation",2
"P177959","Climate adaptation",1
"P177985","Climate adaptation",1
"P177985","Climate mitigation",1
"P178009","Biodiversity",12
"P178009","Climate mitigation",4
"P178009","Climate adaptation",2
"P178043","Climate mitigation",1
"P178067t","Climate mitigation",3
"P178067t","Climate adaptation",1
"P178181","Climate adaptation",1
"P178215","Climate mitigation",1
"P178224","Climate mitigation",1
"P178285","Climate adaptation",5
"P178329","Climate adaptation",2
"P178329","Climate mitigation",1
"P178564","Climate mitigation",2
"P178587","Climate adaptation",2
"P178729","Climate mitigation",2
"P178729","Climate adaptation",1
"P178866","Climate mitigation",1
"P178912","Climate mitigation",1
"P178912","Water",1
"P178926","Climate mitigation",2
"P178926","Climate adaptation",1
"P179010","Pollution prevention",1
