"SDG","Target","Frequency","Color"
"SDG 16","SDG 16.10",93,"#00689D"
"SDG 17","SDG 17.17",63,"#19486A"
"SDG 17","SDG 17.5",60,"#19486A"
"SDG 6","SDG 6.4",58,"#26BDE2"
"SDG 6","SDG 6.2",47,"#26BDE2"
"SDG 17","SDG 17.19",44,"#19486A"
"SDG 3","SDG 3.6",35,"#4C9F38"
"SDG 17","SDG 17.13",32,"#19486A"
"SDG 2","SDG 2.b",25,"#DDA63A"
"SDG 15","SDG 15.3",20,"#56C02B"
"SDG 13","SDG 13.a",19,"#3F7E44"
"SDG 11","SDG 11.a",18,"#FD9D24"
"SDG 16","SDG 16.8",17,"#00689D"
"SDG 12","SDG 12.8",16,"#BF8B2E"
"SDG 16","SDG 16.6",16,"#00689D"
"SDG 17","SDG 17.6",16,"#19486A"
"SDG 1","SDG 1.3",15,"#E5243B"
"SDG 11","SDG 11.6",14,"#FD9D24"
"SDG 17","SDG 17.4",13,"#19486A"
"SDG 1","SDG 1.1",12,"#E5243B"
"SDG 12","SDG 12.3",12,"#BF8B2E"
"SDG 12","SDG 12.4",12,"#BF8B2E"
"SDG 16","SDG 16.9",11,"#00689D"
"SDG 9","SDG 9.5",11,"#FD6925"
"SDG 11","SDG 11.5",10,"#FD9D24"
"SDG 13","SDG 13.3",10,"#3F7E44"
"SDG 16","SDG 16.7",10,"#00689D"
"SDG 17","SDG 17.8",10,"#19486A"
"SDG 16","SDG 16.1",9,"#00689D"
"SDG 7","SDG 7.1",9,"#FCC30B"
"SDG 9","SDG 9.b",9,"#FD6925"
"SDG 14","SDG 14.c",8,"#0A97D9"
"SDG 2","SDG 2.5",8,"#DDA63A"
"SDG 2","SDG 2.a",8,"#DDA63A"
"SDG 7","SDG 7.3",8,"#FCC30B"
"SDG 10","SDG 10.7",7,"#DD1367"
"SDG 10","SDG 10.6",6,"#DD1367"
"SDG 13","SDG 13.2",6,"#3F7E44"
"SDG 17","SDG 17.1",6,"#19486A"
"SDG 6","SDG 6.3",6,"#26BDE2"
"SDG 7","SDG 7.b",6,"#FCC30B"
"SDG 1","SDG 1.4",5,"#E5243B"
"SDG 10","SDG 10.1",5,"#DD1367"
"SDG 12","SDG 12.1",5,"#BF8B2E"
"SDG 16","SDG 16.5",5,"#00689D"
"SDG 2","SDG 2.4",5,"#DDA63A"
"SDG 3","SDG 3.c",5,"#4C9F38"
"SDG 11","SDG 11.4",4,"#FD9D24"
"SDG 11","SDG 11.7",4,"#FD9D24"
"SDG 12","SDG 12.2",4,"#BF8B2E"
"SDG 12","SDG 12.c",4,"#BF8B2E"
"SDG 15","SDG 15.b",4,"#56C02B"
"SDG 3","SDG 3.8",4,"#4C9F38"
"SDG 6","SDG 6.b",4,"#26BDE2"
"SDG 8","SDG 8.10",4,"#A21942"
"SDG 10","SDG 10.3",3,"#DD1367"
"SDG 11","SDG 11.b",3,"#FD9D24"
"SDG 12","SDG 12.6",3,"#BF8B2E"
"SDG 13","SDG 13.1",3,"#3F7E44"
"SDG 14","SDG 14.1",3,"#0A97D9"
"SDG 5","SDG 5.5",3,"#FF3A21"
"SDG 8","SDG 8.3",3,"#A21942"
"SDG 9","SDG 9.3",3,"#FD6925"
"SDG 1","SDG 1.2",2,"#E5243B"
"SDG 12","SDG 12.5",2,"#BF8B2E"
"SDG 14","SDG 14.2",2,"#0A97D9"
"SDG 15","SDG 15.9",2,"#56C02B"
"SDG 15","SDG 15.c",2,"#56C02B"
"SDG 16","SDG 16.2",2,"#00689D"
"SDG 17","SDG 17.11",2,"#19486A"
"SDG 17","SDG 17.12",2,"#19486A"
"SDG 3","SDG 3.2",2,"#4C9F38"
"SDG 3","SDG 3.b",2,"#4C9F38"
"SDG 6","SDG 6.6",2,"#26BDE2"
"SDG 6","SDG 6.a",2,"#26BDE2"
"SDG 11","SDG 11.1",1,"#FD9D24"
"SDG 11","SDG 11.3",1,"#FD9D24"
"SDG 12","SDG 12.b",1,"#BF8B2E"
"SDG 13","SDG 13.b",1,"#3F7E44"
"SDG 14","SDG 14.4",1,"#0A97D9"
"SDG 15","SDG 15.1",1,"#56C02B"
"SDG 15","SDG 15.2",1,"#56C02B"
"SDG 15","SDG 15.4",1,"#56C02B"
"SDG 15","SDG 15.8",1,"#56C02B"
"SDG 17","SDG 17.10",1,"#19486A"
"SDG 2","SDG 2.c",1,"#DDA63A"
"SDG 3","SDG 3.3",1,"#4C9F38"
"SDG 3","SDG 3.5",1,"#4C9F38"
"SDG 4","SDG 4.b",1,"#C5192D"
"SDG 6","SDG 6.1",1,"#26BDE2"
"SDG 6","SDG 6.5",1,"#26BDE2"
"SDG 7","SDG 7.a",1,"#FCC30B"
"SDG 8","SDG 8.2",1,"#A21942"
"SDG 8","SDG 8.a",1,"#A21942"
"SDG 9","SDG 9.1",1,"#FD6925"
